title,categories,keywords
i tried the free breakfast at 10 hotels to find the best one,"travel and events|food,lifestyle","sam reid,sam reed,studio revue,studio review,hotel breakfast,free hotel breakfast,continental breakfast,what is a continental breakfast,which hotels have breakfast,which hotel has the best breakfast?,best western breakfast,holiday inn express breakfast,tru breakfast,quality inn breakfast,days inn breakfast,comfort inn breakfast,hampton inn breakfast,red roof inn breakfast,fairfield inn breakfast,super 8 breakfast"
pro chefs blind taste test every frozen pizza | the taste panel | epicurious,entertainment;food,"best frozen pizza,best pizza brand,best supermarket pizza,blind taste test,blind tasting,epicurious,food challenge video,frozen pizza,frozen pizza how to cook,frozen pizza review,how to make frozen pizza,pizza blind taste test,pizza review,pro chefs taste frozen food,pro chefs taste supermarket food,professional chef blind taste test,professional chef taste test,supermarket food,supermarket pizza,taste test videos,the taste panel"
50 useless sonic heroes facts,gaming|video game culture,"useless sonic heroes facts,sonic heroes,glitches,secrets,easter egg,detail,development,beta,prototype,demo,guide,walkthrough,100%,ost,nintendo gamecube,xbox,pc,ps2,iceberg,choa,hidden,secret,stage,rare,glitch compilation,a+ start,son of a glitch,gamegrumps,somecallmejohnny,cutscene,movie,playthrough,mods,challenge,speed run,agdq,gdq,kingk,sonic the hedgehog,tails,dark,eggman,boss,sega,remix,fan,cover,shadow,sonic adventure,sa1,sa2,playstation,frontiers,sonic,cut,content,music"
sonic 3's subtle storytelling,gaming|video game culture,"hyperbithero,sonic,sonic the hedgehog,sonic 3 and knuckles,story,sonic adventure,chaos emeralds,mecha sonic"
a kirby air ride secret hidden for 20 years in plain sight,gaming|video game culture,"kirby,kirby air ride,kirby air riders,sakurai,nintendo,nintendo switch,switch,switch 2,gamecube,easter egg,secret"
nintendo mods that will blow your mind!,gaming|video game culture,"retro renew,nintendo mods,nintendo modding,nintendo emulation,modding scene,video game mods,fan mods,fan remakes,fan remasters,rom hacks,emulation,best mods 2025,game preservation,emulation vs nintendo,modding community,retro gaming,retro renew,emulator mods,dolphin emulator"
harmonic rhythm in sonic the hedgehog's music,gaming|video game culture;music,"sonic,sonic the hedgehog,harmony,melody,harmonic rhythm,video game,vgm,video game music,tails,knuckles,sonic unleashed,sonic adventure,sonic adventure 2,sonic forces,rhythm,chords"
"""invisible"" sound design in breath of the wild",gaming|video game culture;music,"botw,breath of the wild,link,zelda,legend of zelda,hyrule,lanayru,sound design,vgm,video game,video game music,invisible design"
behind splatoon's final minute of music,"gaming|analysis,video game culture;music","splatoon,splatoon 2,octo expansion,video game,video game music,vgm,ost,now or never,squid squad,wet floor,off the hook,squid sisters"
the music theory of super mario rpg's battle music,gaming|analysis;music,"super mario rpg,video games,snes,mario music,nintendo music,battle music,rpg battle music,how to write music,composition,music theory,fight against a stronger monster,fight against smithy,fight against a somewhat stronger monster,yoko shimomura,8-bit music theory"
why does this paper mario boss theme go so hard?,gaming|analysis;music,"paper mario,ttyd,paper mario the thousand year door,doopliss theme,boss music,ost,battle theme,mario music,nintendo music,creepy steeple,how to write music,composition,how to write game music,8-bit music theory"
explaining super mario's underwater music,gaming;music,"super mario bros,super mario music,mario underwater music,swimming music,chiptune,new music,mario ost,how to write music,composition,music theory,koji kondo,8-bit music theory"
the mario maker 3ds disaster,gaming|video game culture,"yo-kai watch,yokai watch,yo-kai,nintendo,nintendo 3ds,3ds worth it,2ds xl,nintendo 2ds xl,gaming,3ds eshop,3ds homebrew,3ds modded,3ds review,3ds games,3ds,yokai watch 2,yokai watch 4,yokai watch 3,yokai watch nuzlocke,nuzlocke,pokemon nuzlocke,pokemon,smallant,pointcrow,ludwig,yokai watch gameplay,yokai watch switch,yokai watch anime,yokai watch playthrough,yokai watch let's play,mario maker,dashiegames,dashiegames super mario maker"
cool tech under $50 - november!,"science and technology|technology;how to and style|hobby,lifestyle","randomfrankp,4k,2025,top 5,tech under 100,best tech,awesome tech under,tech under 50,tech under 25,top tech,tech under $50,gadgets under,gadgets under $50,cool tech,cool gadgets,technology,gadget,awesome,new gadgets,tech under,under $25,pc,smart tech,under $50,pc gaming,minimal desk,gaming mouse,holiday gift ideas,rgb light,ps5,elgato,stream deck,fanttik,gift idea for men,fanttik f2 master,tech organizer,soomfon"
how to (mentally) survive seasonal depression,entertainment;how to and style|lifestyle,"chon digital,sad,winter sadness,feeling kinda down,unrelated to the video tho,winter vibes,fall vibes,cozy,reading,gaming,chondling,chon"
breaking your phone addiction is pretty easy,people and blogs;how to and style|lifestyle,"phone addiction,animation,comedy,funny,cartoon,smart adjacent,jonathan h,joke,animate,sketch,comic,comic book,humor,hilarious,animals,animated,shorts,every other day,character,story,saturday morning,2d,family,coolman,coffeedan,chris hallbeck,the good advice cupcake,catanacomics,catana comics,the land of boggs,casually explained,charisma on command,easy actually,domics,matt davella,block site,clearspace,clear space,jomo,freedom,screen time"
monkey’s night routine that makes every morning easy (the secret to better sleep),education;how to and style|lifestyle,"morning routine,routine,productive morning routine"
the disturbing reality of ultra-processed food,education;entertainment;food;documentary,"ultra processed foods,processed food,fast food,junk food,chips,pringles,mcdonald's,ultra-processed food,upfs,food industry,food supply,health,diet,weight loss,obesity,healthy eating,behavior change,potato chips,mcdonald's apple pie,levels of processing,nova classification,starch slurry,slurries,raw food processing,trans fats,food documentary,nutrition,edible food-like substances,edible food-like products,kiana,kiana docherty,habits,dietary choices"
why americans eat dessert for breakfast,"education;food;travel and events|lifestyle,food","american breakfast,johnny harris vox,vox borders,johnny harris vox borders,vox,breakfast,international breakfast,strange american things,kelloggs,kelogs,kellogs,pancakes,doughnuts,johnny harris,taste test,healthy diet"
why are people obsessed with diet coke?,education;food,"diet coke,coca cola,aspartame,investigaion,mystery,diet,zero calorie,diet soda,soda pop,diet soda bad for you,diet soda vs regular soda,diet pop,diet soda poetry,diet pop bad for you,diet coke addiction,diet soda addiction,aspartame withdrawal,coke zero bad for you,documentary,investigative documentaries,investigative reports,kiana docherty"
school lunches in america just got worse...,"entertainment;food;how to and style|lifestyle,food","school lunch,school lunches,lunchables,ultra processed foods,processed food,junk food,national school lunch program,school lunch program,school lunch be like,mechanically separated meat,pink slime,food industry,kraft heinz,lunchables pizza,lunchables ham,lunchables turkey,lunchables cheese,kiana docherty,kiana,lunchables vs real food"
how to be a smarter football fan,"sports|american football,analysis","nfl,nfl highlights,all 22,film study,nfl breakdown,thinking football,scouting report,nfl draft,film breakdown,college football,patrick mahomes,justin herbert,jalen hurts,josh allen,joe burrow,jamarr chase,malik nabers,puka nakua,justin jefferson,chiefs,cowboys,steelers,packers,patriots,49ers,rams,seahawks,dolphins,jets,bills,ravens,lamar jackson"
how to make any room actually cool,"entertainment;how to and style|lifestyle,DIY","kelly wakasa,ryan trahan,gawx art,life of riza,colt kirwan,luke eich,yikes,isaiah photo,isaac carlton,eric wang,room renovation,how to make a cool room,room transformation"
the world's best watch is only $20,people and blogs;how to and style|lifestyle,"menswear,menswear tips,menswear basics,menswear review,vintage menswear,classic menswear,menswear essentials,mens fashion,casio f91w,casio f91,casio watch,wristwatch,mens watches,best watch,80s watch,80s fashion,digital watch,casio f91-w,best casio,casio"
i went phoneless for a week. it changed my life...,entertainment;how to and style|lifestyle;science and technology|technology,"finzar,fun,comedy,happy,editing,premiere pro,mental health,mental health awareness,social media addiction,phone addiction,dumb phone,social media vs reality,how to use your phone less,no smartphone challenge,self improvement journey,digital minimalism iphone,1 week no phone challenge,how to use your phone less often,social media detox 2024,finzar presets,dopamine detox,no social media,digital detox,phone detox,phoneless,self improvement,social media"
the funniest kid in school (feat. gabriel iglesias) - key & peele,"comedy;entertainment|film,television program;film and animation|television program","key & peele,key and peele,jordan peele,keegan-michael key,keey & peele,key & peele full episodes,key and peele show,kay and peele,high on potenuse,class clown,joke theft,joke thief,gabriel iglesias,fluffy,heather anne campbell,obama,barack obama,jordan peele obama impression,sketch comedy,funny,funny video,comedy videos,funny jokes,funny clips,math joke,math,key and peele math joke,keegan michael key,key and peele high on hypotenuse,hypotenuse"
cool teacher vs. class clown - key & peele,"comedy;entertainment|film,television program;film and animation|television program","key & peele,key and peele,jordan peele,keegan-michael key,keey & peele,key & peele full episodes,key and peele show,kay and peele,class clown,teacher,student,class,clown,classroom,school,dance,dancing,funny,funny video,comedy videos,funny jokes,funny clips,keegan michael key,key and peele classroom,key and peele class clown,key and peele classroom skit,cool teacher,teacher vs students,student vs teacher,key and peele teacher"
low iq moments but they get increasingly more dumb,"sports|basketball,highlights","coshreport,0 iq,jesser,low,jesser reacts,funny fails,people with a zero iq,dumb people on tiktok,dumbest people,dumb people,photos that prove people have 0 iq,tiktok dumb people,tiktok 0 iq,nba 0 iq,reaction,funny moments,stupid people doing stupid things,stupid people on tiktok"
travels but they get increasingly more outrageous,"sports|basketball,highlights","basketball,nba,nba highlights,sports,moments,highlights,espn,coshreport,irl sports content,music,best build,stephen curry,james harden step back,funny,house of highlights,fail,kobe bryant,james harden,travels,double dribble,increasingly,low iq"
how to fix a cat,entertainment;pets and animals;how to and style,"funny cat videos,weird,meme,cat,cat gun"
how a cat works,entertainment;pets and animals;how to and style,"how a cat works,funny cat video,entertaining video"
is your car safe from supermaneuverable air-defense fighter aircraft?,education;entertainment,"fighter jet,fighter aircraft,audi rs6 avant,car,bosnian ape society,funny,how to protect your car from fighter jets,meme,world of tanks,warthunder,modern fighter jets,su35,eurofighter,eurofighter typhoon,sukhoi,plane meme,fighter jet meme,surreal,surreal entertainment,fighter jets,russian air force,austrian air force,air defense system,ciws,anti aircraft,bosnian ape society fighter,bosnian ape society jet,bosnian ape society plane"
all the positions in the nfl explained,"sports|american football,analysis","tifo,tifo sports,sports video,the athletic,nfl,american football,gridiron football,superbowl,championship,super bowl,positions,offence,defence,explained"
every position in basketball explained,"sports|basketball,analysis","tifo,tifo sports,sports video,the athletic,basketball,nba,positions,explained"
playoff moments but they get increasingly more clutch,"sports|basketball,highlights","nba,playoffs,stephen curry,lebron james,basketball,game winner,kobe bryant,kyrie irving,nba highlights,michael jordan,house of highlights,ja morant,russell westbrook,top 10,nba playoffs,steph curry,most disrespectful dunks,buzzer beater,zion williamson,best dunks,james harden,nba moments,giannis antetokounmpo,of the year,buzzer beaters,kevin durant,nba finals,golden state warriors,nba top 10,derrick rose,kawhi leonard,nba compilation"
videogame lost media,"gaming|video game culture,knowledge;history","videogames,lost media,minecraft,roblox,fortnite,minecraft lost media,roblox lost media,fortnite lost media,lost version,cut content"
you can't beat steam,gaming|video game culture;news and politics|society,"valve,half life,steam,pc gaming,gaming"
the streaming war is over. piracy won.,entertainment;news and politics|society,"marketlegends,businessstories,startupfails,entrepreneurship,riseandfall,money,companies,legendary,motivation,piracy,hbo max,disney plus,streaming,netflix,netflix piracy,streaming dying,subsciptions,cancel,piracy won,streaming piracy"
why fast food sucks now,"entertainment;food;how to and style|lifestyle,food","patrickcc,patrickcctv,patrick cc,patrick cc:,fast food,fast food is slow,why fast food is dying,why fast food is so expensive,the downfall of fast food,fast food is slow and expensive,mcdonalds,why fast food sucks now,why is everything so boring,why are fast food resturants gray,why is everything gray,gray fast food buildings,gray trend fast food,why all fast food resturants look the same,fast food boring,fast food expensive,fast food architecture"
what does oracle actually do?,news and politics|society;science and technology|technology,"morning brew,dan toomey,morning brew dan toomey,good work,oracle,larry ellison,tiktok,tiktok sale,oracle tiktok,oracle cloud,what does oracle do,belle lin,ai,nvidia,oracle nvidia,oracle tiktok deal,trump larry ellison,paramount,oracle stock,larry ellison net worth,artificial intelligence,cloud ai,oracle cloud infrastructure,oracle company,tech,tech news,business news,business,saas,dan toomey good work,good work dan toomey,good work palantir"
why don't movies look like *movies* anymore?,"film and animation|film,analysis;entertainment|film","cinematography,film look,movies don’t look like movies,digital vs film,dynamic range,movie lighting,modern cinematography,parent trap 1998,dean cundey,movie aesthetics,why do movies look bad,high dynamic range,why film looks better,superbad cinematography,90s movies look better,filmmaking breakdown,contrast in movies,modern film lighting,vfx ruining movies,filmmaking mistakes,digital cameras,color grading,movie analysis,film vs digital"
where do you put the camera?,"education;entertainment|film;film and animation|film,analysis","video essay,filmmaking,every frame a painting,martin scorsese,guillermo del toro,greta gerwig,frank darabont,camera placement,what is the scene about,blocking,camera movement,what do you want to say,john sturges,killers of the flower moon,steven soderbergh,ocean's eleven,true grit,roger deakins,dick pope,fargo,lady bird,little women"
